SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
FR-Bil,13,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,13,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_3
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_HEIGHT,8.22
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,14,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_4
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_HEIGHT,5.12
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,15,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_5
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_HEIGHT,2.4
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,16,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_6
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_HEIGHT,1.25
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,17,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_7
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_HEIGHT,0.5
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,18,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_8
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_HEIGHT,0.4
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_UNIT,%
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,19,GRP_VAR_INFO,VAR_INFO_DATE,202203231230
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-SW Pyran SecSt
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
FR-Bil,20,GRP_VAR_INFO,VAR_INFO_DATE,20191028
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_OUT
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_HEIGHT,15.6
FR-Bil,21,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
