SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
SE-Nor,13,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_2
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_HEIGHT,28.6
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_UNIT,%
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,14,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_VARNAME,RH_3
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_HEIGHT,13.9
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_MODEL,MULTI-Meteo
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_UNIT,%
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,15,GRP_VAR_INFO,VAR_INFO_DATE,202306281130
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,16,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_1
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_HEIGHT,101.5
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-SW Pyran SecSt
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,17,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_2
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_AGG_NUMLOC,1
SE-Nor,18,GRP_VAR_INFO,VAR_INFO_DATE,20181106
SE-Nor,19,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_OUT
SE-Nor,19,GRP_VAR_INFO,VAR_INFO_HEIGHT,55
SE-Nor,19,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
